latitude,longitude,cluster
42.3543,-71.0617,1
42.376000000000005,-71.0619,1
42.3894,-71.0091,1
42.3609,-71.0538,1
42.372,-71.0367,1
42.3594,-71.0587,1
42.3142,-71.0672,1
42.3594,-71.0587,1
42.2644,-71.1471,1
42.2895,-71.0918,1
